name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick,rating_bucket,salary_million,position_group,bmi
Jordan Miller,United States,None,Los Angeles Clippers,11,SF,SG,High Flyer,"6'5""",196,194.0,87.0,"7'0""",213.0,,2.0,"January 23, 2000","Anaheim, California",Miami (Florida),73,75.0,86.0,70.0,72.0,79.0,80.0,60.0,76.0,84.0,78.0,52.0,81.0,85.0,70.0,80.0,57.0,70.0,40.0,80.0,54.0,52.0,58.0,40.0,65.0,64.0,60.0,69.0,72.0,62.0,55.0,49.0,54.0,65.0,37.0,45.0,60.0,40.0,45.0,54.0,60.0,47.0,90.0,75.0,2372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Wing,22.646813827571847
Jordan Poole,United States,None,New Orleans Pelicans,13,PG,SG,Slashing Inside-Out Creator,"6'4""",193,194.0,87.0,"6'7""",201.0,,6.0,"June 19, 1999","Milwaukee, Wisconsin",Michigan,81,83.0,80.0,68.0,81.0,88.0,85.0,95.0,74.0,81.0,81.0,61.0,73.0,80.0,65.0,80.0,60.0,92.0,45.0,60.0,29.0,47.0,44.0,84.0,80.0,81.0,83.0,89.0,80.0,82.0,72.0,54.0,47.0,65.0,63.0,51.0,65.0,55.0,30.0,40.0,33.0,47.0,90.0,86.0,2537.0,bronze,,bronze,silver,silver,,silver,,gold,,bronze,,,,,,silver,,,,silver,silver,bronze,bronze,,,,,,,,,,,,,,,silver,,Great,,Guard,23.35633171360305
Jordan Walsh,United States,None,Boston Celtics,27,PF,SF,Perimeter Defender,"6'7""",201,205.0,92.0,"7'2""",218.0,,2.0,"March 3, 2004","Dallas, Texas",Arkansas,70,60.0,67.0,65.0,72.0,71.0,50.0,35.0,78.0,77.0,77.0,54.0,86.0,89.0,85.0,80.0,59.0,68.0,40.0,80.0,57.0,54.0,44.0,40.0,85.0,58.0,63.0,68.0,68.0,62.0,29.0,67.0,63.0,75.0,46.0,73.0,75.0,74.0,65.0,51.0,51.0,51.0,40.0,78.0,2357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Wing,22.771713571446256
Jose Alvarado,Puerto Rico,United States,New Orleans Pelicans,15,PG,SG,2-Way 3-Level Scoring Threat,"6'0""",183,179.0,81.0,"6'1""",185.0,,4.0,"April 12, 1998","Brooklyn, New York",Georgia Tech,78,74.0,78.0,78.0,80.0,80.0,70.0,60.0,74.0,76.0,86.0,42.0,78.0,80.0,79.0,80.0,45.0,83.0,25.0,30.0,35.0,30.0,30.0,40.0,85.0,73.0,75.0,73.0,75.0,68.0,73.0,73.0,31.0,85.0,89.0,50.0,85.0,85.0,85.0,41.0,35.0,47.0,65.0,80.0,2426.0,,,,,,,,,,,,,,,,,,,,,,,,,,silver,gold,,gold,silver,silver,gold,,bronze,,,,,,gold,Good,,Guard,24.187046492878256
Josh Giddey,Australia,None,Chicago Bulls,3,SG,PG,Playmaking Inside-Out Threat,"6'8""",203,216.0,97.0,"6'8""",203.0,,4.0,"October 10, 2002","Melbourne, Australia",Australia,82,83.0,94.0,54.0,82.0,79.0,90.0,98.0,79.0,79.0,79.0,60.0,74.0,88.0,90.0,80.0,68.0,94.0,45.0,65.0,55.0,58.0,55.0,80.0,90.0,87.0,96.0,89.0,79.0,95.0,77.0,54.0,50.0,62.0,53.0,57.0,57.0,54.0,45.0,68.0,57.0,79.0,85.0,85.0,2709.0,,,,,,,gold,,silver,,bronze,,,,,,bronze,silver,gold,gold,,bronze,gold,silver,gold,,,,,,,,,,,bronze,gold,,,,Great,,Guard,23.538547404693155
Josh Green,Australia,None,Charlotte Hornets,10,SF,SG,Catch & Shoot Ace,"6'7""",201,200.0,90.0,"6'10""",208.0,,5.0,"November 16, 2000","Sydney, Australia",Arizona,75,69.0,81.0,69.0,83.0,67.0,50.0,65.0,82.0,86.0,86.0,60.0,80.0,89.0,90.0,83.0,56.0,75.0,30.0,80.0,35.0,34.0,30.0,69.0,95.0,63.0,70.0,70.0,72.0,70.0,35.0,64.0,35.0,79.0,56.0,45.0,79.0,78.0,75.0,41.0,40.0,41.0,70.0,76.0,2428.0,,,,bronze,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,bronze,,,,,,,,bronze,,Good,,Wing,22.276676319893078
Josh Hart,United States,None,New York Knicks,3,PF,SF,Swiss Army Knife,"6'4""",193,215.0,97.0,"6'8""",203.0,,8.0,"March 6, 1995","Silver Spring, Maryland",Villanova,81,81.0,91.0,75.0,78.0,79.0,75.0,85.0,83.0,81.0,86.0,64.0,69.0,99.0,99.0,82.0,62.0,86.0,25.0,70.0,39.0,58.0,42.0,78.0,95.0,76.0,73.0,79.0,79.0,80.0,70.0,73.0,78.0,86.0,59.0,47.0,80.0,78.0,85.0,69.0,57.0,81.0,95.0,85.0,2768.0,,,,silver,,,silver,,bronze,,gold,,,,,,,gold,silver,,,,silver,bronze,silver,gold,,silver,silver,bronze,gold,silver,,silver,bronze,silver,gold,,silver,gold,Great,,Wing,26.040967542752828
Josh Minott,United States,Jamaica,Boston Celtics,8,SF,PF,Inside the Arc Threat,"6'8""",203,205.0,92.0,"7'0""",213.0,,3.0,"November 25, 2002","Boca Raton, Florida",Memphis,72,68.0,74.0,85.0,70.0,79.0,70.0,30.0,75.0,72.0,72.0,62.0,80.0,80.0,80.0,80.0,62.0,75.0,65.0,80.0,51.0,55.0,52.0,40.0,75.0,60.0,62.0,63.0,68.0,60.0,46.0,65.0,48.0,63.0,88.0,74.0,60.0,65.0,60.0,55.0,43.0,67.0,80.0,76.0,2450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Wing,22.32522021888423
Josh Okogie,Nigeria,None,Houston Rockets,12,SF,SG,Wing Stopper,"6'4""",193,213.0,96.0,"7'0""",213.0,,7.0,"September 1, 1998","Lagos, Nigeria",Georgia Tech,77,68.0,69.0,78.0,79.0,73.0,50.0,60.0,82.0,89.0,89.0,46.0,92.0,80.0,95.0,82.0,54.0,77.0,30.0,75.0,42.0,44.0,44.0,49.0,70.0,64.0,69.0,76.0,81.0,62.0,33.0,75.0,50.0,81.0,89.0,67.0,81.0,84.0,75.0,62.0,66.0,57.0,80.0,78.0,2542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,silver,,,,,,bronze,,,silver,Good,,Wing,25.77250395983785
Jrue Holiday,United States,None,Portland Trail Blazers,4,PG,SG,2-Way 3-Level Shot Creator,"6'5""",196,205.0,92.0,"6'7""",201.0,,16.0,"June 12, 1990","Chatsworth, California",UCLA,81,76.0,86.0,89.0,80.0,90.0,60.0,50.0,79.0,79.0,94.0,49.0,68.0,90.0,92.0,80.0,57.0,85.0,25.0,65.0,30.0,72.0,40.0,40.0,98.0,80.0,84.0,86.0,79.0,85.0,65.0,80.0,66.0,89.0,80.0,53.0,89.0,93.0,90.0,50.0,47.0,52.0,60.0,86.0,2666.0,,,,,silver,,,,bronze,,,,,,,,bronze,bronze,,bronze,,bronze,silver,bronze,silver,hof,gold,,gold,silver,gold,hof,,gold,,,,,,gold,Great,,Guard,23.94835485214494
Julian Champagnie,United States,None,San Antonio Spurs,30,SF,SG,3 & D Threat,"6'7""",201,217.0,98.0,"6'10""",208.0,,3.0,"June 29, 2001","Staten Island, New York",St. John's,75,81.0,84.0,74.0,80.0,90.0,90.0,70.0,69.0,69.0,69.0,37.0,67.0,85.0,75.0,80.0,55.0,79.0,40.0,60.0,43.0,44.0,52.0,52.0,73.0,59.0,66.0,68.0,65.0,64.0,34.0,54.0,45.0,67.0,46.0,56.0,55.0,66.0,40.0,53.0,44.0,61.0,60.0,77.0,2327.0,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,bronze,,Good,,Wing,24.256825326105798
Julian Phillips,United States,None,Chicago Bulls,15,SF,PF,Inside-Out Scoring Threat,"6'8""",203,198.0,89.0,"7'0""",213.0,,2.0,"November 5, 2003","Killeen, Texas",Tennessee,73,76.0,81.0,68.0,75.0,77.0,80.0,75.0,75.0,73.0,78.0,40.0,80.0,85.0,90.0,80.0,56.0,70.0,45.0,80.0,35.0,38.0,38.0,55.0,85.0,56.0,60.0,66.0,67.0,57.0,29.0,61.0,55.0,68.0,46.0,55.0,67.0,68.0,65.0,52.0,56.0,47.0,50.0,75.0,2359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Wing,21.597223907398874
Julian Strawther,Puerto Rico,United States,Denver Nuggets,3,SG,SF,3 & D Threat,"6'6""",198,205.0,92.0,"6'9""",206.0,,2.0,"April 18, 2002","Las Vegas, Nevada",Gonzaga,76,82.0,94.0,55.0,79.0,83.0,95.0,85.0,71.0,63.0,70.0,53.0,64.0,90.0,75.0,80.0,58.0,79.0,35.0,70.0,40.0,40.0,40.0,62.0,95.0,59.0,64.0,74.0,57.0,65.0,34.0,59.0,44.0,74.0,41.0,50.0,68.0,68.0,65.0,40.0,32.0,47.0,95.0,82.0,2407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Guard,23.46699316396286
Julius Randle,United States,None,Minnesota Timberwolves,30,PF,C,Shot-Creating 3-Level Threat,"6'8""",203,250.0,113.0,"7'0""",213.0,,11.0,"November 29, 1994","Dallas, Texas",Kentucky,86,84.0,84.0,95.0,76.0,81.0,75.0,95.0,82.0,73.0,76.0,87.0,69.0,95.0,90.0,84.0,82.0,89.0,85.0,80.0,79.0,60.0,86.0,92.0,85.0,75.0,74.0,80.0,68.0,84.0,71.0,61.0,77.0,73.0,37.0,42.0,73.0,52.0,75.0,65.0,62.0,67.0,80.0,87.0,2838.0,,,,,,bronze,silver,bronze,silver,bronze,gold,bronze,silver,bronze,,bronze,,,bronze,gold,,,gold,,,,,,,,,,,,,bronze,bronze,bronze,,,Great,,Wing,27.421194399281717
Justin Champagnie,United States,None,Washington Wizards,9,SF,SG,Stretch Four,"6'6""",198,206.0,93.0,"6'10""",208.0,,4.0,"June 29, 2001","Staten Island, New York",Pittsburgh,78,79.0,78.0,67.0,82.0,74.0,90.0,85.0,74.0,73.0,73.0,40.0,78.0,80.0,92.0,80.0,61.0,79.0,65.0,75.0,48.0,44.0,40.0,55.0,85.0,58.0,62.0,69.0,66.0,62.0,33.0,66.0,49.0,75.0,73.0,66.0,60.0,75.0,65.0,69.0,66.0,71.0,95.0,79.0,2549.0,,,,silver,,,,,,,bronze,,,,,,,,,,,,,,,,,,,bronze,,,,,,,silver,,silver,bronze,Good,,Wing,23.72206917661463
Justin Edwards,United States,None,Philadelphia 76ers,19,SF,SG,3-Level Scoring Threat,"6'8""",203,203.0,91.0,"6'11""",211.0,,1.0,"December 16, 2003","Philadelphia, Pennsylvania",Kentucky,77,79.0,84.0,90.0,80.0,70.0,75.0,75.0,78.0,82.0,82.0,59.0,81.0,85.0,80.0,80.0,56.0,79.0,40.0,80.0,40.0,40.0,40.0,50.0,75.0,63.0,65.0,70.0,79.0,65.0,37.0,56.0,50.0,68.0,56.0,53.0,58.0,54.0,50.0,49.0,47.0,51.0,75.0,79.0,2424.0,,,,,,,,,,,bronze,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,silver,Good,,Wing,22.082554781722447
Jusuf Nurkic,Bosnia & Herzegovina,None,Utah Jazz,11,C,None,2-Way Inside-The-Arc Threat,"7'0""",213,290.0,131.0,"7'2""",218.0,,11.0,"August 23, 1994","Tuzla, Bosnia and Herzegovina",Bosnia and Herzegovina,78,72.0,90.0,88.0,73.0,69.0,60.0,50.0,68.0,51.0,49.0,90.0,50.0,86.0,75.0,72.0,74.0,68.0,75.0,65.0,77.0,72.0,77.0,70.0,85.0,54.0,60.0,40.0,25.0,82.0,61.0,65.0,78.0,45.0,53.0,72.0,79.0,60.0,70.0,81.0,67.0,94.0,50.0,82.0,2510.0,,,,,,,,silver,,silver,,bronze,gold,bronze,,,,,bronze,bronze,,,,,,,,,,,,,,,,silver,,silver,,,Good,,Big,28.874341510723184
Karl-Anthony Towns,Dominican Republic,United States,New York Knicks,32,PF,C,Inside-Out Board Hunter,"7'0""",213,248.0,112.0,"7'4""",224.0,,10.0,"November 15, 1995","Edison, New Jersey",Kentucky,92,88.0,91.0,69.0,86.0,83.0,98.0,98.0,83.0,76.0,76.0,87.0,70.0,98.0,90.0,82.0,88.0,82.0,85.0,75.0,92.0,92.0,89.0,90.0,98.0,64.0,60.0,65.0,66.0,79.0,52.0,60.0,71.0,50.0,42.0,58.0,79.0,55.0,65.0,81.0,69.0,93.0,98.0,93.0,2902.0,silver,gold,,gold,,bronze,,silver,bronze,gold,silver,gold,silver,gold,,silver,,,,bronze,,,silver,,bronze,,,,,,,,,,,silver,,silver,,bronze,Elite,,Wing,24.68645991756486
Karlo Matkovic,Bosnia & Herzegovina,None,New Orleans Pelicans,17,PF,C,Rim Protector,"6'10""",208,231.0,104.0,"7'2""",218.0,,3.0,"March 30, 2001",,Bosnia and Herzegovina,78,78.0,95.0,69.0,71.0,80.0,80.0,75.0,72.0,56.0,51.0,77.0,67.0,80.0,90.0,80.0,71.0,77.0,75.0,75.0,69.0,68.0,68.0,57.0,75.0,47.0,50.0,55.0,47.0,52.0,32.0,58.0,66.0,41.0,41.0,85.0,66.0,54.0,50.0,72.0,67.0,76.0,85.0,79.0,2481.0,,,,bronze,,bronze,,,,bronze,bronze,,,,,silver,,,,,,,,,,,,bronze,,,,,,,,bronze,bronze,bronze,,,Good,,Wing,24.038461538461537
Kawhi Leonard,United States,None,Los Angeles Clippers,2,PF,SF,2-Way Scoring Phenom,"6'7""",201,225.0,101.0,"7'3""",221.0,,14.0,"June 29, 1991","Los Angeles, California",San Diego State,92,88.0,96.0,88.0,86.0,75.0,90.0,95.0,83.0,84.0,90.0,79.0,79.0,85.0,85.0,82.0,80.0,90.0,55.0,80.0,65.0,88.0,84.0,80.0,98.0,79.0,79.0,86.0,83.0,82.0,63.0,81.0,81.0,89.0,73.0,56.0,91.0,90.0,90.0,55.0,42.0,68.0,75.0,96.0,2998.0,gold,,,silver,gold,,silver,,silver,,silver,bronze,,bronze,,,,bronze,,,,,bronze,,bronze,silver,silver,bronze,bronze,silver,gold,silver,,silver,bronze,,,,,silver,Elite,,Wing,24.999381203435565
Keaton Wallace,United States,None,Atlanta Hawks,20,SG,PG,3PT Shot Creator,"6'3""",191,195.0,88.0,"6'7""",201.0,,4.0,"February 26, 1999","Richardson, Texas",Texas-San Antonio,72,76.0,87.0,68.0,82.0,83.0,70.0,65.0,75.0,80.0,79.0,49.0,72.0,88.0,70.0,84.0,46.0,77.0,25.0,50.0,32.0,30.0,29.0,40.0,85.0,71.0,70.0,72.0,76.0,74.0,62.0,66.0,44.0,70.0,73.0,70.0,70.0,68.0,70.0,39.0,30.0,47.0,70.0,75.0,2386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Guard,24.12214577451276
Keegan Murray,United States,None,Sacramento Kings,13,PF,SF,Inside-Out Scoring Threat,"6'8""",203,225.0,101.0,"6'11""",211.0,,3.0,"August 19, 2000","Cedar Rapids, Iowa",Iowa,81,75.0,91.0,72.0,83.0,83.0,60.0,60.0,78.0,76.0,79.0,60.0,79.0,85.0,86.0,80.0,69.0,77.0,60.0,80.0,69.0,69.0,69.0,45.0,80.0,61.0,65.0,70.0,73.0,66.0,31.0,66.0,68.0,78.0,38.0,66.0,64.0,75.0,75.0,60.0,56.0,64.0,90.0,85.0,2607.0,silver,bronze,,silver,bronze,,bronze,,,,silver,,,,,,,silver,silver,,,,silver,,,,,,,,bronze,,,bronze,,,,,gold,,Great,,Wing,24.509209153340297
Keldon Johnson,United States,None,San Antonio Spurs,0,SF,PF,Shot-Creating 3-Level Threat,"6'5""",196,220.0,99.0,"6'9""",206.0,,6.0,"October 11, 1999","Chesterfield, Virginia",Kentucky,80,79.0,86.0,83.0,78.0,77.0,70.0,80.0,80.0,76.0,78.0,70.0,71.0,90.0,95.0,80.0,74.0,87.0,65.0,75.0,59.0,62.0,62.0,84.0,95.0,68.0,74.0,79.0,73.0,74.0,40.0,61.0,67.0,73.0,41.0,51.0,69.0,64.0,65.0,60.0,57.0,63.0,70.0,83.0,2666.0,bronze,,,bronze,,,,,,,silver,,,,,,,,,,,,,,,,,silver,,,bronze,,,,,,bronze,,silver,gold,Great,,Wing,25.770512286547273
Kel’el Ware,United States,None,Miami Heat,7,C,PF,Inside-Out Board Hunter,"7'0""",213,230.0,104.0,"7'4""",224.0,,1.0,"April 20, 2004","North Little Rock, Arkansas",Indiana,80,77.0,98.0,64.0,75.0,70.0,75.0,80.0,78.0,66.0,68.0,66.0,90.0,89.0,90.0,80.0,72.0,77.0,85.0,86.0,65.0,54.0,60.0,62.0,90.0,44.0,37.0,52.0,46.0,52.0,32.0,58.0,68.0,37.0,42.0,83.0,69.0,50.0,60.0,78.0,67.0,89.0,85.0,85.0,2544.0,,,,,,silver,,,,,bronze,,,,bronze,bronze,,,,,,,,,,,,gold,,,,,,,,,bronze,,,gold,Great,,Big,22.923141352024516
Kelly Olynyk,Canada,None,San Antonio Spurs,13,C,PF,Inside-Out Scoring Threat,"6'11""",211,240.0,108.0,"6'10""",208.0,,12.0,"April 19, 1991","Toronto, Canada",Gonzaga,79,79.0,88.0,70.0,86.0,78.0,75.0,75.0,65.0,31.0,35.0,70.0,55.0,89.0,90.0,82.0,75.0,75.0,70.0,60.0,79.0,79.0,79.0,79.0,78.0,57.0,70.0,42.0,25.0,76.0,70.0,58.0,70.0,50.0,53.0,60.0,66.0,45.0,65.0,67.0,62.0,71.0,70.0,79.0,2497.0,bronze,,,silver,,,,,,gold,bronze,,bronze,silver,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,Good,,Big,24.258215224276185
Kelly Oubre Jr.,United States,None,Philadelphia 76ers,9,SF,SG,Rim Attacker,"6'7""",201,203.0,91.0,"7'2""",218.0,,10.0,"December 9, 1995","New Orleans, Louisiana",Kansas,80,76.0,87.0,73.0,72.0,75.0,70.0,80.0,79.0,72.0,82.0,58.0,95.0,90.0,75.0,84.0,66.0,82.0,40.0,84.0,45.0,53.0,52.0,84.0,88.0,65.0,73.0,74.0,69.0,75.0,34.0,63.0,49.0,74.0,66.0,53.0,70.0,75.0,55.0,59.0,51.0,66.0,60.0,80.0,2565.0,,,,silver,,,bronze,,bronze,,silver,,,,bronze,,,silver,bronze,,,,silver,,,bronze,,,,bronze,bronze,,,,,,,,gold,bronze,Great,,Wing,22.524194945669667
Kenrich Williams,United States,None,Oklahoma City Thunder,34,PF,C,Stretch Four,"6'6""",198,210.0,95.0,"6'7""",201.0,,7.0,"December 2, 1994","Waco, Texas",TCU,78,83.0,88.0,76.0,84.0,81.0,95.0,75.0,75.0,66.0,75.0,63.0,72.0,80.0,90.0,80.0,63.0,79.0,40.0,65.0,57.0,58.0,58.0,55.0,90.0,62.0,69.0,69.0,63.0,69.0,42.0,66.0,68.0,75.0,49.0,47.0,74.0,75.0,75.0,61.0,56.0,66.0,60.0,78.0,2562.0,,,,bronze,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Wing,24.232221201918172
Kentavious Caldwell-Pope,United States,None,Memphis Grizzlies,3,SG,SF,2-Way Perimeter Shot Creator,"6'5""",196,204.0,92.0,"6'8""",203.0,,12.0,"February 18, 1993","Thomaston, Georgia",Georgia,76,74.0,93.0,95.0,80.0,87.0,50.0,40.0,80.0,85.0,84.0,60.0,69.0,92.0,85.0,84.0,55.0,74.0,35.0,73.0,35.0,58.0,35.0,40.0,90.0,64.0,67.0,70.0,80.0,68.0,36.0,71.0,45.0,87.0,63.0,55.0,82.0,82.0,85.0,38.0,33.0,42.0,40.0,76.0,2455.0,silver,,,gold,bronze,,,,,,,,,,,,,,,,,,,,,bronze,,,,,bronze,bronze,,bronze,,,,,gold,silver,Good,,Guard,23.94835485214494
KJ Martin,United States,None,Utah Jazz,99,PF,SF,Rim Rocker,"6'6""",198,215.0,97.0,"6'7""",201.0,,5.0,"January 6, 2001","Gardena, California",Sierra Canyon High School,75,71.0,99.0,68.0,67.0,77.0,50.0,65.0,77.0,83.0,83.0,62.0,90.0,80.0,60.0,81.0,66.0,82.0,75.0,92.0,44.0,44.0,44.0,70.0,75.0,61.0,64.0,76.0,69.0,64.0,34.0,55.0,54.0,67.0,36.0,63.0,62.0,54.0,50.0,48.0,42.0,54.0,90.0,78.0,2448.0,,,,,,silver,,,,,bronze,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Wing,24.742373227221712
Keon Ellis,United States,None,Sacramento Kings,23,SG,PG,3 & D Point,"6'3""",191,175.0,79.0,"6'9""",206.0,,3.0,"January 8, 2000","Eustis, Florida",Alabama,78,82.0,96.0,76.0,86.0,86.0,75.0,70.0,77.0,81.0,84.0,48.0,79.0,85.0,80.0,80.0,50.0,75.0,25.0,65.0,27.0,40.0,38.0,54.0,78.0,63.0,64.0,74.0,77.0,65.0,33.0,79.0,58.0,84.0,96.0,71.0,82.0,80.0,80.0,44.0,42.0,46.0,90.0,80.0,2550.0,,,,silver,,,,,,,,,,,,,,,,,,,,,,silver,gold,,,silver,silver,bronze,,silver,,,,,,,Good,,Guard,21.655108138483047
Keon Johnson,United States,None,Brooklyn Nets,45,SG,SF,Shot-Creating 3-Level Threat,"6'3""",191,185.0,83.0,"6'7""",201.0,,4.0,"September 29, 1995","Shelbyville, Tennessee",Tennessee,77,76.0,75.0,74.0,76.0,78.0,75.0,75.0,81.0,93.0,84.0,40.0,98.0,88.0,85.0,80.0,54.0,80.0,35.0,85.0,35.0,35.0,35.0,45.0,80.0,71.0,75.0,72.0,83.0,70.0,55.0,63.0,45.0,70.0,66.0,56.0,69.0,68.0,65.0,52.0,42.0,61.0,70.0,77.0,2495.0,,,,,,,silver,,bronze,,bronze,,,,bronze,,,,,,,bronze,,,,,,,,,,,,,,,,,,silver,Good,,Guard,22.75156931005181
Keshad Johnson,United States,None,Miami Heat,16,PF,SF,Promising Prospect,"6'7""",201,225.0,101.0,"6'10""",208.0,,1.0,"June 23, 2001","Oakland, California",Arizona,69,67.0,75.0,70.0,71.0,70.0,50.0,65.0,83.0,92.0,80.0,65.0,89.0,88.0,90.0,80.0,61.0,69.0,50.0,75.0,59.0,59.0,59.0,40.0,80.0,57.0,57.0,65.0,70.0,55.0,37.0,51.0,52.0,60.0,46.0,50.0,57.0,52.0,40.0,58.0,58.0,57.0,40.0,78.0,2350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,Wing,24.999381203435565
Kessler Edwards,United States,None,Denver Nuggets,20,SF,PF,Stretch Five Paint Protector,"6'7""",201,203.0,91.0,"6'11""",211.0,,4.0,"August 9, 2000","Glendale, California",Pepperdine,75,73.0,72.0,72.0,78.0,80.0,70.0,65.0,77.0,72.0,74.0,77.0,70.0,80.0,85.0,80.0,61.0,68.0,60.0,65.0,59.0,50.0,59.0,45.0,80.0,55.0,50.0,64.0,59.0,64.0,38.0,72.0,77.0,75.0,46.0,80.0,78.0,75.0,75.0,58.0,47.0,69.0,70.0,75.0,2503.0,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,gold,Good,,Wing,22.524194945669667
Kevin Durant,United States,None,Houston Rockets,35,PF,SF,Walking Bucket,"6'11""",211,240.0,108.0,"7'5""",226.0,,18.0,"September 29, 1988","Washington, District of Columbia",Texas,93,89.0,97.0,97.0,91.0,83.0,70.0,98.0,81.0,80.0,78.0,63.0,77.0,94.0,90.0,88.0,85.0,96.0,60.0,85.0,74.0,86.0,86.0,97.0,98.0,81.0,78.0,92.0,80.0,88.0,69.0,69.0,70.0,77.0,38.0,72.0,75.0,75.0,75.0,49.0,31.0,67.0,75.0,99.0,2949.0,hof,gold,,gold,hof,,gold,,gold,bronze,gold,silver,,,,,gold,bronze,bronze,,silver,gold,gold,bronze,,,,,,,bronze,,,,,,,,gold,bronze,Elite,,Wing,24.258215224276185
Kevin Huerter,United States,None,Chicago Bulls,13,SG,SF,Inside-Out Shot Creator,"6'7""",201,198.0,89.0,"6'8""",203.0,,7.0,"August 27, 1998","Albany, New York",Maryland,79,74.0,97.0,72.0,78.0,72.0,60.0,65.0,77.0,84.0,78.0,50.0,75.0,85.0,85.0,83.0,55.0,87.0,30.0,65.0,25.0,58.0,35.0,50.0,90.0,69.0,74.0,79.0,72.0,76.0,43.0,58.0,44.0,64.0,56.0,53.0,63.0,64.0,60.0,44.0,35.0,53.0,80.0,79.0,2419.0,silver,bronze,,silver,bronze,,silver,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,Good,,Guard,22.02915769411649
Kevin Love,United States,None,Utah Jazz,42,C,PF,Inside-Out Board Hunter,"6'8""",203,245.0,110.0,"6'11""",211.0,,17.0,"September 7, 1988","Santa Monica, California",UCLA,76,69.0,95.0,73.0,80.0,70.0,50.0,45.0,71.0,66.0,54.0,82.0,70.0,70.0,80.0,77.0,73.0,72.0,70.0,50.0,77.0,84.0,84.0,50.0,95.0,58.0,65.0,52.0,33.0,77.0,63.0,62.0,69.0,50.0,78.0,52.0,75.0,57.0,50.0,83.0,70.0,95.0,50.0,82.0,2512.0,bronze,,,bronze,,,,,,bronze,,bronze,,,,,,,gold,bronze,,,,,bronze,,,,,,,,,,,gold,,bronze,,,Good,,Big,26.69319808779636
Kevin McCullar,United States,None,New York Knicks,9,SG,SF,Perimeter Defender,"6'7""",201,212.0,95.0,"6'11""",211.0,,1.0,"March 15, 2001","San Antonio, Texas",Kansas,69,66.0,76.0,75.0,74.0,79.0,50.0,40.0,77.0,75.0,82.0,55.0,75.0,90.0,80.0,80.0,63.0,76.0,45.0,75.0,59.0,62.0,60.0,45.0,85.0,60.0,68.0,66.0,68.0,67.0,33.0,62.0,52.0,72.0,56.0,63.0,70.0,68.0,50.0,50.0,44.0,55.0,50.0,78.0,2398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,Guard,23.514269448776027
