Unnamed: 0,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick
221,Jock Landale,Australia,Unknown,Memphis Grizzlies,2,C,Unknown,Inside The Arc Board Hunter,"6'11""",211,255.0,115.0,"7'3""",221.0,0.0,7.0,"October 25, 1995","Malvern East, Australia",Australia,77,76.0,91.0,77.0,63.0,69.0,75.0,80.0,69.0,54.0,54.0,64.0,75.0,80.0,75.0,80.0,74.0,75.0,65.0,65.0,80.0,77.0,86.0,66.0,80.0,52.0,58.0,52.0,45.0,64.0,41.0,56.0,65.0,48.0,36.0,74.0,62.0,60.0,45.0,77.0,85.0,69.0,60.0,77.0,2472.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,silver,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,silver,silver,Unknown,Unknown
222,Joe Ingles,Australia,Unknown,Minnesota Timberwolves,7,SF,PF,3 & D Wing,"6'9""",206,220.0,99.0,"6'10""",208.0,0.0,16.0,"October 2, 1987","Adelaide, Australia",Australia,73,66.0,64.0,65.0,86.0,86.0,60.0,35.0,73.0,66.0,80.0,64.0,60.0,92.0,70.0,80.0,54.0,80.0,40.0,45.0,50.0,55.0,48.0,40.0,70.0,70.0,75.0,70.0,60.0,75.0,71.0,65.0,58.0,80.0,53.0,35.0,78.0,78.0,75.0,45.0,34.0,56.0,40.0,77.0,2351.0,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,bronze,silver
223,Joel Embiid,Cameroon,United States,Philadelphia 76ers,21,C,Unknown,3-Level Scoring Paint Beast,"7'0""",213,280.0,126.0,"7'5""",226.0,0.0,11.0,"March 16, 1994","Yaounde, Cameroon",Kansas,92,86.0,96.0,84.0,75.0,88.0,80.0,95.0,80.0,69.0,69.0,96.0,69.0,95.0,90.0,70.0,90.0,84.0,85.0,80.0,96.0,96.0,96.0,90.0,90.0,70.0,74.0,57.0,62.0,82.0,73.0,74.0,92.0,68.0,40.0,72.0,94.0,64.0,90.0,80.0,70.0,90.0,60.0,95.0,2976.0,gold,Unknown,Unknown,silver,silver,silver,silver,gold,silver,gold,gold,gold,gold,gold,Unknown,gold,Unknown,Unknown,silver,gold,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,bronze,bronze,Unknown,Unknown,Unknown,gold,Unknown,gold,gold,bronze,gold,Unknown,silver
224,John Collins,United States,Unknown,Los Angeles Clippers,20,C,PF,Inside-Out Scorer,"6'9""",206,226.0,102.0,"6'11""",211.0,0.0,8.0,"September 23, 1997","Layton, Utah",Wake Forest,82,85.0,98.0,79.0,85.0,85.0,70.0,90.0,80.0,71.0,65.0,75.0,85.0,92.0,85.0,84.0,80.0,87.0,90.0,90.0,77.0,75.0,83.0,52.0,85.0,55.0,58.0,60.0,50.0,66.0,42.0,59.0,74.0,49.0,43.0,72.0,74.0,38.0,60.0,71.0,63.0,79.0,85.0,85.0,2701.0,Unknown,Unknown,Unknown,Unknown,Unknown,gold,Unknown,Unknown,Unknown,bronze,silver,bronze,Unknown,bronze,gold,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze
225,John Konchar,United States,Unknown,Memphis Grizzlies,46,SG,SF,Perimeter Shot Creator,"6'5""",196,210.0,95.0,"6'8""",203.0,0.0,6.0,"March 22, 1996","Chicago, Illinois",Fort Wayne,73,71.0,73.0,76.0,78.0,78.0,60.0,60.0,73.0,62.0,69.0,40.0,70.0,93.0,90.0,84.0,54.0,77.0,40.0,55.0,44.0,47.0,47.0,40.0,85.0,65.0,74.0,76.0,60.0,79.0,38.0,58.0,54.0,62.0,63.0,72.0,50.0,60.0,45.0,68.0,59.0,76.0,90.0,76.0,2402.0,bronze,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown
226,Johnny Furphy,Australia,Unknown,Indiana Pacers,12,PF,SF,Catch & Shoot Threat,"6'9""",206,210.0,95.0,"7'1""",216.0,0.0,1.0,"December 7, 2004","Melbourne, Australia",Kansas,70,69.0,77.0,77.0,80.0,82.0,50.0,50.0,76.0,79.0,63.0,54.0,79.0,85.0,90.0,80.0,60.0,79.0,60.0,60.0,47.0,52.0,49.0,48.0,85.0,55.0,60.0,59.0,60.0,64.0,30.0,55.0,52.0,57.0,56.0,67.0,52.0,48.0,50.0,54.0,62.0,46.0,40.0,80.0,2309.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
227,Jonas Valanciunas,Lithuania,Unknown,Denver Nuggets,17,C,Unknown,Inside The Arc Board Hunter,"6'11""",211,265.0,119.0,"7'3""",221.0,0.0,14.0,"May 6, 1992","Utena, Lithuania",Lithuania,81,76.0,98.0,81.0,63.0,87.0,75.0,50.0,72.0,62.0,48.0,89.0,54.0,90.0,80.0,81.0,77.0,80.0,80.0,65.0,84.0,64.0,84.0,65.0,95.0,47.0,36.0,35.0,33.0,65.0,65.0,60.0,75.0,43.0,40.0,67.0,80.0,54.0,60.0,89.0,85.0,92.0,60.0,84.0,2549.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,silver,bronze,silver,gold,bronze,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,bronze,gold,Unknown,Unknown
228,Jonathan Isaac,United States,Unknown,Orlando Magic,1,PF,Unknown,2-Way Rim Attacker,"6'10""",208,230.0,104.0,"7'1""",216.0,0.0,8.0,"October 3, 1997","The Bronx, New York",Florida State,76,52.0,74.0,44.0,64.0,67.0,35.0,30.0,76.0,73.0,80.0,70.0,80.0,75.0,90.0,67.0,65.0,67.0,60.0,82.0,62.0,68.0,75.0,35.0,68.0,58.0,65.0,76.0,66.0,55.0,29.0,84.0,83.0,83.0,86.0,91.0,83.0,78.0,85.0,79.0,78.0,79.0,30.0,79.0,2512.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,gold,bronze,bronze,silver,bronze,silver,Unknown,silver,bronze,silver,Unknown,Unknown,gold
229,Jonathan Kuminga,DR Congo,Unknown,Golden State Warriors,0,PF,SF,Versatile Defender,"6'7""",201,225.0,101.0,"6'11""",211.0,0.0,4.0,"October 6, 2002","Goma, DR Congo",NBA G League Ignite,81,75.0,86.0,63.0,74.0,64.0,75.0,85.0,83.0,84.0,84.0,73.0,90.0,88.0,80.0,80.0,69.0,88.0,65.0,85.0,49.0,50.0,50.0,82.0,85.0,66.0,69.0,67.0,75.0,60.0,59.0,63.0,73.0,73.0,49.0,56.0,70.0,69.0,50.0,58.0,50.0,65.0,95.0,82.0,2642.0,Unknown,Unknown,Unknown,Unknown,Unknown,gold,bronze,Unknown,silver,Unknown,gold,Unknown,Unknown,Unknown,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold
230,Jonathan Mogbo,United States,Unknown,Toronto Raptors,2,PF,C,Interior Threat,"6'8""",203,215.0,97.0,"7'0""",213.0,0.0,1.0,"October 29, 2001","Wellington, Florida",San Francisco,76,65.0,60.0,53.0,70.0,70.0,85.0,50.0,81.0,91.0,79.0,68.0,75.0,88.0,85.0,80.0,61.0,80.0,60.0,80.0,50.0,50.0,50.0,55.0,64.0,65.0,66.0,70.0,69.0,67.0,52.0,64.0,64.0,64.0,56.0,66.0,67.0,68.0,60.0,67.0,67.0,67.0,90.0,82.0,2518.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,bronze
231,Jordan Clarkson,United States,Philippines,New York Knicks,0,SG,SF,Mid-Range Slasher,"6'3""",191,194.0,87.0,"6'8""",203.0,0.0,11.0,"June 7, 1992","Tampa, Florida",Missouri,80,81.0,82.0,88.0,80.0,80.0,70.0,85.0,78.0,79.0,82.0,54.0,85.0,80.0,80.0,83.0,59.0,90.0,25.0,75.0,30.0,37.0,38.0,80.0,98.0,80.0,79.0,88.0,79.0,81.0,71.0,49.0,43.0,65.0,43.0,47.0,58.0,49.0,40.0,44.0,38.0,50.0,50.0,81.0,2463.0,bronze,Unknown,Unknown,bronze,bronze,Unknown,gold,Unknown,silver,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,bronze,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
232,Jordan Goodwin,United States,Unknown,Phoenix Suns,30,SG,PG,Ball Hawk,"6'4""",193,200.0,90.0,"6'10""",208.0,0.0,4.0,"October 23, 1998","Centreville, Illinois",Saint Louis,76,81.0,84.0,65.0,79.0,87.0,85.0,85.0,71.0,75.0,76.0,49.0,55.0,80.0,85.0,80.0,51.0,78.0,25.0,35.0,33.0,43.0,48.0,66.0,80.0,68.0,78.0,78.0,68.0,78.0,39.0,67.0,47.0,71.0,83.0,62.0,70.0,65.0,70.0,63.0,66.0,60.0,80.0,76.0,2484.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
233,Jordan Hawkins,United States,Unknown,New Orleans Pelicans,24,SG,PG,Shot-Creating 3-Level Threat,"6'5""",196,190.0,86.0,"6'7""",201.0,0.0,2.0,"April 29, 2002","Gaithersburg, Maryland",UConn,75,76.0,71.0,79.0,80.0,83.0,70.0,75.0,72.0,70.0,72.0,48.0,67.0,89.0,80.0,80.0,54.0,82.0,25.0,60.0,37.0,48.0,44.0,55.0,80.0,65.0,72.0,75.0,68.0,75.0,33.0,55.0,45.0,65.0,38.0,56.0,67.0,64.0,50.0,44.0,35.0,52.0,85.0,80.0,2355.0,bronze,Unknown,bronze,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
234,Jordan Miller,United States,Unknown,Los Angeles Clippers,11,SF,SG,High Flyer,"6'5""",196,194.0,87.0,"7'0""",213.0,0.0,2.0,"January 23, 2000","Anaheim, California",Miami (Florida),73,75.0,86.0,70.0,72.0,79.0,80.0,60.0,76.0,84.0,78.0,52.0,81.0,85.0,70.0,80.0,57.0,70.0,40.0,80.0,54.0,52.0,58.0,40.0,65.0,64.0,60.0,69.0,72.0,62.0,55.0,49.0,54.0,65.0,37.0,45.0,60.0,40.0,45.0,54.0,60.0,47.0,90.0,75.0,2372.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
235,Jordan Poole,United States,Unknown,New Orleans Pelicans,13,PG,SG,Slashing Inside-Out Creator,"6'4""",193,194.0,87.0,"6'7""",201.0,0.0,6.0,"June 19, 1999","Milwaukee, Wisconsin",Michigan,81,83.0,80.0,68.0,81.0,88.0,85.0,95.0,74.0,81.0,81.0,61.0,73.0,80.0,65.0,80.0,60.0,92.0,45.0,60.0,29.0,47.0,44.0,84.0,80.0,81.0,83.0,89.0,80.0,82.0,72.0,54.0,47.0,65.0,63.0,51.0,65.0,55.0,30.0,40.0,33.0,47.0,90.0,86.0,2537.0,bronze,Unknown,bronze,silver,silver,Unknown,silver,Unknown,gold,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,silver,silver,bronze,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown
236,Jordan Walsh,United States,Unknown,Boston Celtics,27,PF,SF,Perimeter Defender,"6'7""",201,205.0,92.0,"7'2""",218.0,0.0,2.0,"March 3, 2004","Dallas, Texas",Arkansas,70,60.0,67.0,65.0,72.0,71.0,50.0,35.0,78.0,77.0,77.0,54.0,86.0,89.0,85.0,80.0,59.0,68.0,40.0,80.0,57.0,54.0,44.0,40.0,85.0,58.0,63.0,68.0,68.0,62.0,29.0,67.0,63.0,75.0,46.0,73.0,75.0,74.0,65.0,51.0,51.0,51.0,40.0,78.0,2357.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
237,Jose Alvarado,Puerto Rico,United States,New Orleans Pelicans,15,PG,SG,2-Way 3-Level Scoring Threat,"6'0""",183,179.0,81.0,"6'1""",185.0,0.0,4.0,"April 12, 1998","Brooklyn, New York",Georgia Tech,78,74.0,78.0,78.0,80.0,80.0,70.0,60.0,74.0,76.0,86.0,42.0,78.0,80.0,79.0,80.0,45.0,83.0,25.0,30.0,35.0,30.0,30.0,40.0,85.0,73.0,75.0,73.0,75.0,68.0,73.0,73.0,31.0,85.0,89.0,50.0,85.0,85.0,85.0,41.0,35.0,47.0,65.0,80.0,2426.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,gold,Unknown,gold,silver,silver,gold,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,gold
238,Josh Giddey,Australia,Unknown,Chicago Bulls,3,SG,PG,Playmaking Inside-Out Threat,"6'8""",203,216.0,97.0,"6'8""",203.0,0.0,4.0,"October 10, 2002","Melbourne, Australia",Australia,82,83.0,94.0,54.0,82.0,79.0,90.0,98.0,79.0,79.0,79.0,60.0,74.0,88.0,90.0,80.0,68.0,94.0,45.0,65.0,55.0,58.0,55.0,80.0,90.0,87.0,96.0,89.0,79.0,95.0,77.0,54.0,50.0,62.0,53.0,57.0,57.0,54.0,45.0,68.0,57.0,79.0,85.0,85.0,2709.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,Unknown,silver,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,silver,gold,gold,Unknown,bronze,gold,silver,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,gold,Unknown,Unknown,Unknown
239,Josh Green,Australia,Unknown,Charlotte Hornets,10,SF,SG,Catch & Shoot Ace,"6'7""",201,200.0,90.0,"6'10""",208.0,0.0,5.0,"November 16, 2000","Sydney, Australia",Arizona,75,69.0,81.0,69.0,83.0,67.0,50.0,65.0,82.0,86.0,86.0,60.0,80.0,89.0,90.0,83.0,56.0,75.0,30.0,80.0,35.0,34.0,30.0,69.0,95.0,63.0,70.0,70.0,72.0,70.0,35.0,64.0,35.0,79.0,56.0,45.0,79.0,78.0,75.0,41.0,40.0,41.0,70.0,76.0,2428.0,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown
240,Josh Hart,United States,Unknown,New York Knicks,3,PF,SF,Swiss Army Knife,"6'4""",193,215.0,97.0,"6'8""",203.0,0.0,8.0,"March 6, 1995","Silver Spring, Maryland",Villanova,81,81.0,91.0,75.0,78.0,79.0,75.0,85.0,83.0,81.0,86.0,64.0,69.0,99.0,99.0,82.0,62.0,86.0,25.0,70.0,39.0,58.0,42.0,78.0,95.0,76.0,73.0,79.0,79.0,80.0,70.0,73.0,78.0,86.0,59.0,47.0,80.0,78.0,85.0,69.0,57.0,81.0,95.0,85.0,2768.0,Unknown,Unknown,Unknown,silver,Unknown,Unknown,silver,Unknown,bronze,Unknown,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,silver,Unknown,Unknown,Unknown,silver,bronze,silver,gold,Unknown,silver,silver,bronze,gold,silver,Unknown,silver,bronze,silver,gold,Unknown,silver,gold
241,Josh Minott,United States,Jamaica,Boston Celtics,8,SF,PF,Inside the Arc Threat,"6'8""",203,205.0,92.0,"7'0""",213.0,0.0,3.0,"November 25, 2002","Boca Raton, Florida",Memphis,72,68.0,74.0,85.0,70.0,79.0,70.0,30.0,75.0,72.0,72.0,62.0,80.0,80.0,80.0,80.0,62.0,75.0,65.0,80.0,51.0,55.0,52.0,40.0,75.0,60.0,62.0,63.0,68.0,60.0,46.0,65.0,48.0,63.0,88.0,74.0,60.0,65.0,60.0,55.0,43.0,67.0,80.0,76.0,2450.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
242,Josh Okogie,Nigeria,Unknown,Houston Rockets,12,SF,SG,Wing Stopper,"6'4""",193,213.0,96.0,"7'0""",213.0,0.0,7.0,"September 1, 1998","Lagos, Nigeria",Georgia Tech,77,68.0,69.0,78.0,79.0,73.0,50.0,60.0,82.0,89.0,89.0,46.0,92.0,80.0,95.0,82.0,54.0,77.0,30.0,75.0,42.0,44.0,44.0,49.0,70.0,64.0,69.0,76.0,81.0,62.0,33.0,75.0,50.0,81.0,89.0,67.0,81.0,84.0,75.0,62.0,66.0,57.0,80.0,78.0,2542.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,silver
243,Jrue Holiday,United States,Unknown,Portland Trail Blazers,4,PG,SG,2-Way 3-Level Shot Creator,"6'5""",196,205.0,92.0,"6'7""",201.0,0.0,16.0,"June 12, 1990","Chatsworth, California",UCLA,81,76.0,86.0,89.0,80.0,90.0,60.0,50.0,79.0,79.0,94.0,49.0,68.0,90.0,92.0,80.0,57.0,85.0,25.0,65.0,30.0,72.0,40.0,40.0,98.0,80.0,84.0,86.0,79.0,85.0,65.0,80.0,66.0,89.0,80.0,53.0,89.0,93.0,90.0,50.0,47.0,52.0,60.0,86.0,2666.0,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,bronze,Unknown,bronze,Unknown,bronze,silver,bronze,silver,hof,gold,Unknown,gold,silver,gold,hof,Unknown,gold,Unknown,Unknown,Unknown,Unknown,Unknown,gold
244,Julian Champagnie,United States,Unknown,San Antonio Spurs,30,SF,SG,3 & D Threat,"6'7""",201,217.0,98.0,"6'10""",208.0,0.0,3.0,"June 29, 2001","Staten Island, New York",St. John's,75,81.0,84.0,74.0,80.0,90.0,90.0,70.0,69.0,69.0,69.0,37.0,67.0,85.0,75.0,80.0,55.0,79.0,40.0,60.0,43.0,44.0,52.0,52.0,73.0,59.0,66.0,68.0,65.0,64.0,34.0,54.0,45.0,67.0,46.0,56.0,55.0,66.0,40.0,53.0,44.0,61.0,60.0,77.0,2327.0,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown
245,Julian Phillips,United States,Unknown,Chicago Bulls,15,SF,PF,Inside-Out Scoring Threat,"6'8""",203,198.0,89.0,"7'0""",213.0,0.0,2.0,"November 5, 2003","Killeen, Texas",Tennessee,73,76.0,81.0,68.0,75.0,77.0,80.0,75.0,75.0,73.0,78.0,40.0,80.0,85.0,90.0,80.0,56.0,70.0,45.0,80.0,35.0,38.0,38.0,55.0,85.0,56.0,60.0,66.0,67.0,57.0,29.0,61.0,55.0,68.0,46.0,55.0,67.0,68.0,65.0,52.0,56.0,47.0,50.0,75.0,2359.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
246,Julian Strawther,Puerto Rico,United States,Denver Nuggets,3,SG,SF,3 & D Threat,"6'6""",198,205.0,92.0,"6'9""",206.0,0.0,2.0,"April 18, 2002","Las Vegas, Nevada",Gonzaga,76,82.0,94.0,55.0,79.0,83.0,95.0,85.0,71.0,63.0,70.0,53.0,64.0,90.0,75.0,80.0,58.0,79.0,35.0,70.0,40.0,40.0,40.0,62.0,95.0,59.0,64.0,74.0,57.0,65.0,34.0,59.0,44.0,74.0,41.0,50.0,68.0,68.0,65.0,40.0,32.0,47.0,95.0,82.0,2407.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
247,Julius Randle,United States,Unknown,Minnesota Timberwolves,30,PF,C,Shot-Creating 3-Level Threat,"6'8""",203,250.0,113.0,"7'0""",213.0,0.0,11.0,"November 29, 1994","Dallas, Texas",Kentucky,86,84.0,84.0,95.0,76.0,81.0,75.0,95.0,82.0,73.0,76.0,87.0,69.0,95.0,90.0,84.0,82.0,89.0,85.0,80.0,79.0,60.0,86.0,92.0,85.0,75.0,74.0,80.0,68.0,84.0,71.0,61.0,77.0,73.0,37.0,42.0,73.0,52.0,75.0,65.0,62.0,67.0,80.0,87.0,2838.0,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,silver,bronze,silver,bronze,gold,bronze,silver,bronze,Unknown,bronze,Unknown,Unknown,bronze,gold,Unknown,Unknown,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,bronze,bronze,Unknown,Unknown
